Date,site,IGBPname,Landcover,ID,co2,LE,Rln,Prcp,Pa,Rs,Tavg,VPD,U2,LAI,Albedo,Emiss
2007-3-19,IT-Lav,ENF,1,99,394.2969792,38.41205396,308.8679167,18.2,83.62233333,17.67379167,-0.5260625,0.001120833,1.774333333,0.98668,0.071,0.98399
2013-6-4,CH-Lae,MF,5,46,378.7113542,60.08203715,296.5020833,0,93.45785417,249.8876458,9.536083333,0.371260417,2.844895833,2.6357,0.153,0.98368
2010-1-31,IT-Ro2,DBF,4,105,395.753875,12.61678469,287.4873333,1.2,97.8503125,107.6975,4.845833333,0.285877083,1.468854167,2.1563,0.11735,0.984
2009-8-21,AT-Neu,GRA,10,3,506.6520208,70.62546917,355.30875,2,91.22379167,170.1474583,18.33379167,0.566414583,1.290208333,3.3574,0.134,0.98551
2007-3-9,IT-BCi,CRO,12,90,373.8924167,88.46013125,318.5208333,0,101.4645833,150.65,14.82604167,0.587052083,5.593729167,0.71857,0.16269,0.985
2012-10-23,AU-Cpr,SAV,9,6,382.59375,16.60208396,315.8125,0,100.729375,331.8333333,21.03395833,2.27824375,3.69125,0.63064,0.14378,0.974
2011-4-18,DE-Spw,WET,11,72,403.5433333,37.54618604,292.1822917,0,103.8887292,244.0775,13.88875,0.913845833,1.15375,2.7311,0.121,0.98381
2008-8-10,US-PFa,MF,5,143,373.0352083,68.890125,294.1165,0,96.35304167,294.15175,15.42516667,0.507833333,2.116458333,2.4011,0.143,0.9829
2013-7-22,AU-GWW,SAV,9,14,382.8830417,13.81875,266.4650208,0,96.669375,181.0625,9.418333333,0.58349375,3.149375,0.38468,0.11722,0.974
2007-3-24,IT-Cpz,EBF,2,96,396.008375,36.97508325,288.743625,6.368,100.3208333,52.31589583,10.29395833,0.294839583,2.757729167,2.6842,0.11855,0.98381
2014-6-19,US-GLE,ENF,1,129,396.0427917,51.48974583,228.08825,0.762,69.40729167,369.4196042,3.356229167,0.428875,6.868375,0.58475,0.158,0.98821
2003-5-25,US-Blo,ENF,1,126,379.9665833,68.49839583,309.5045417,0,86.48227083,300.0675417,13.66552083,0.697854167,2.081604167,1.8167,0.10694,0.987
2008-3-7,IT-Ro1,DBF,4,104,426.6293125,4.722594583,291.9874583,16.517,98.67266667,30.79802083,5.9104375,0.026475,2.078770833,2.5107,0.15023,0.98472
2007-3-27,ZA-Kru,SAV,9,165,363.6528125,12.35788854,395.95075,0,97.26016667,210.0127083,24.72083333,1.29256875,4.096604167,1.6358,0.15877,0.98493
2013-10-21,AU-Cpr,SAV,9,6,384.45625,11.46119285,392.4166667,0,99.96583333,163.3020833,24.50416667,1.9642625,2.865208333,0.61017,0.14555,0.974
2013-5-20,US-Twt,CRO,12,153,403.3920208,186.0768292,312.0890833,0,101.3354167,358.8722292,24.02535417,2.167125,4.315770833,0.91712,0.1387,0.98472
2011-1-22,US-SRG,GRA,10,145,376.5114583,6.447625,258.8056875,0,86.79741667,181.9525208,11.467,1.034895833,1.996458333,0.5035,0.19285,0.976
2007-8-1,CH-Cha,GRA,10,43,332.127125,142.4460704,312.7811667,0,97.00847917,322.0373333,16.88585417,0.854135417,0.788291667,0.85313,0.17,0.98618
2005-11-5,DE-Kli,CRO,12,65,393.1388333,1.148464154,309.4986667,3.49,96.6455625,20.8795,7.4128125,0.131041667,3.609916667,1.4881,0.155,0.98506
2014-7-4,AU-Gin,WSA,8,13,395.548625,20.42333125,330.5,0.2,101.1535417,110.1041667,12.96270833,0.4503375,2.07875,0.94662,0.104,0.984
2014-10-13,AU-Rig,GRA,10,18,374.3987083,58.70047292,320.8281667,0,99.94625,258.2587708,12.55520833,0.6233,4.966666667,0.91589,0.2173,0.98543
2003-10-4,CA-NS6,OSH,7,37,386.6673958,16.8524709,296.427,0,97.906,138.3583125,9.268520833,0.366979167,2.444229167,0.27772,0.097,0.98601
2013-8-27,CH-Oe2,CRO,12,48,405.4467708,42.63314042,365.3653958,11.524,94.06877083,142.7945,14.740375,0.19345,1.3139375,1.4239,0.175,0.98491
2003-5-17,US-Ton,WSA,8,148,384.32975,87.42220708,295.957125,0,99.12083333,338.7918958,17.20958333,1.092145833,2.437,1.9513,0.15733,0.98515
2012-12-21,AU-DaS,SAV,9,9,358.2452708,56.78482,433.2916667,7.8,99.70625,107.6041667,27.11791667,0.749708333,1.235875,1.3796,0.12368,0.98528
2007-3-9,FR-LBr,ENF,1,87,382.3641875,12.91365542,316.19625,2.2,101.785,60.03875,8.5573125,0.12771875,3.717708333,1.4786,0.124,0.98482
2010-8-26,US-Twt,CRO,12,153,369.2347292,170.838625,333.6661667,0,100.8975,300.6300417,20.46595833,0.865604167,4.361625,0.79226,0.18174,0.98447
2012-8-23,US-Me2,ENF,1,134,386.6621875,65.46947896,264.1756875,0,87.23970833,304.00775,13.44527083,0.7785,4.457958333,2.1255,0.11042,0.9883
2004-8-12,IT-Ro1,DBF,4,104,395.404875,51.91679667,361.1158333,0,99.26875,250.7288542,24.806875,0.705125,1.779604167,1.6923,0.17864,0.98446
2011-6-2,DK-Sor,DBF,4,76,423.9754167,83.49166667,321.6375,0,102.5145833,288.2458333,14.59854167,0.42264375,4.676875,2.2011,0.194,0.98606
2014-1-30,US-Myb,WET,11,137,403.2099583,37.12639771,340.789375,1.4,101.3264583,75.6196875,12.441875,0.374416667,2.33525,1.0308,0.12616,0.98439
2005-9-12,ZA-Kru,SAV,9,165,342.2047917,6.481618667,358.1259167,0,97.69583333,243.973375,22.85583333,1.545560417,2.549354167,1.972,0.14654,0.98468
2009-9-13,IT-MBo,GRA,10,100,389.551125,59.01225688,315.5482917,9.5,84.47045833,182.3989792,10.05820833,0.210508333,1.6039375,0.38253,0.151,0.98503
2012-6-28,US-UMB,DBF,4,154,382.6569583,106.7449713,376.8954583,0,97.86595833,268.634375,23.529125,0.814625,2.608791667,1.7268,0.15,0.98406
2011-7-13,AU-Rig,GRA,10,18,345.6502708,18.82820354,325.7916667,0,100.2714583,69.65104167,8.699791667,0.197345833,2.045833333,0.81141,0.16459,0.98494
2013-7-1,US-SRM,WSA,8,146,396.0850625,78.64600188,414.44375,0,88.88366667,325.8025833,29.53625,2.902333333,2.379020833,0.40302,0.18082,0.974
2012-10-29,US-MMS,DBF,4,136,411.4169167,8.757957375,262.8239583,0,98.43416667,163.6355417,5.7675,0.442625,6.41025,2.0354,0.119,0.98237
2013-8-12,AU-Gin,WSA,8,13,398.15,33.24305625,349.9791667,0,101.1554167,109.9166667,15.54020833,0.664039583,2.660416667,0.85746,0.10664,0.984
